	query_id	query_text
133	trip_4776	telemedicine telehealth
134	trip_4792	patellofemoral pain syndrome
135	trip_4882	patient empowerment
136	trip_4932	personality disorder
137	trip_4944	otitis media antibiotics
138	trip_4996	deep venous thrombosis
139	trip_5087	osteoporosis treatment
140	trip_5124	child abuse
141	trip_5221	post partum hemorrhage
142	trip_5243	psoriatic arthritis
143	trip_5268	topical nsaids
144	trip_5431	hernia inguinal
145	trip_5433	occupational therapy
146	trip_5551	placenta previa
147	trip_5578	acute pulmonary edema
148	trip_5586	pressure ulcers nutrition
149	trip_5618	craniosacral therapy
150	trip_5650	streptococcus pneumoniae
151	trip_5665	yoga back pain
152	trip_5673	thyroid nodule
153	trip_5789	vitamin b12
154	trip_5842	mental health stigma
155	trip_5851	folic acid pregnancy
156	trip_5898	atopic dermatitis
157	trip_6022	catheter associated urinary tract infection
158	trip_6038	surgical site infection
159	trip_6081	antenatal care
160	trip_6160	spinal immobilization
161	trip_6172	elderly depression
162	trip_6223	epilepsy treatment
163	trip_6280	fever children
164	trip_6319	aspirin primary prevention
165	trip_6493	smoking cessation
166	trip_6580	migraine prophylaxis
167	trip_6590	gestational hypertension
168	trip_6645	chronic pancreatitis
169	trip_6673	multiple myeloma
170	trip_6680	prevention surgical site infection
171	trip_6727	bacterial peritonitis
172	trip_6825	nephrotic syndrome
173	trip_6847	emergency medicine
174	trip_6890	peptic ulcer disease
175	trip_6917	bronchial thermoplasty
176	trip_7023	iron deficiency anemia
177	trip_7060	Breast cancer
178	trip_7082	breaking bad news
179	trip_7103	nosocomial pneumonia
180	trip_7135	congestive heart failure
181	trip_7140	dry needling
182	trip_7145	prevention of pressure ulcers
183	trip_7189	acute apendicitis
184	trip_7200	total hip arthroplasty
185	trip_7224	qualitative research
186	trip_7235	colorectal cancer screening
187	trip_7250	herniated disc
188	trip_7272	inguinal hernia
189	trip_7387	teenage pregnancy
190	trip_7411	lateral epicondylitis
191	trip_7440	chest pain emergency
192	trip_7458	intrauterine growth restriction
193	trip_7620	coronary artery disease
194	trip_7691	aortic aneurysm
195	trip_7770	Acute kidney injury
196	trip_7811	systemic lupus erythematosus
197	trip_7847	osteoarthritis treatment
198	trip_7927	eczema treatment
199	trip_7939	postpartum depression
200	trip_7947	lung cancer
201	trip_7954	acute bronchiolitis
202	trip_7964	gastroesophageal reflux
203	trip_7965	postpartum psychosis
204	trip_7986	falls prevention
205	trip_8090	diabetes mellitus
206	trip_8184	cerebellar ataxia
207	trip_8345	sedation icu
208	trip_8459	anterior cruciate ligament
209	trip_8530	pressure ulcers treatment
210	trip_8543	Multiple sclerosis
211	trip_8596	nephrotic syndrome children
212	trip_8698	denosumab osteoporosis
213	trip_8718	polycystic ovary
214	trip_8722	polycystic ovary syndrome
215	trip_8798	polycystic kidney disease
216	trip_8872	acute myocardial infarction
217	trip_8907	negative pressure wound therapy
218	trip_8962	falls elderly
219	trip_9074	hellp syndrome
220	trip_9113	leadership nursing
221	trip_9126	scaphoid fracture diagnosis
222	trip_9133	ovarian cancer
223	trip_9138	orthostatic hypotension
224	trip_9262	cancer cachexia
225	trip_9290	dilated cardiomyopathy
226	trip_9331	bacterial vaginosis
227	trip_9365	tennis elbow and steroids
228	trip_9376	trochanteric bursitis
229	trip_9447	silver dressings
230	trip_9547	acute asthma
231	trip_9639	prenatal care
232	trip_9715	hyperbaric oxygen
233	trip_9721	onychomycosis laser
234	trip_9816	vitamin c
235	trip_9870	guillain barre syndrome
236	trip_9999	intimate partner violence
237	trip_10018	malignant hyperthermia
238	trip_10024	schizophrenia treatment
239	trip_10095	preoperative anxiety
240	trip_10098	endometrial polyps
241	trip_10107	septic arthritis
242	trip_10116	pain assessment
243	trip_10117	chronic fatigue syndrome
244	trip_10159	early warning score
245	trip_10209	music therapy
246	trip_10296	fish oil
247	trip_10297	spinal muscular atrophy
248	trip_10335	childhood obesity
249	trip_10757	alzheimer's disease
250	trip_10867	bipolar disorder
251	trip_10888	copd exercise
252	trip_10906	ruxolitinib myelofibrosis
253	trip_10911	hip fracture
254	trip_10916	liver transplantation
255	trip_11116	obesity prevention
256	trip_11236	renal tubular acidosis
257	trip_11271	biliary atresia
258	trip_11276	community acquired pneumonia guidelines
259	trip_11331	intragastric balloon
260	trip_11336	cancer pain management
261	trip_11390	venous leg ulcer
262	trip_11438	infant colic treatment
263	trip_11477	insulin pump
264	trip_11656	nurse burnout
265	trip_11778	nebulized hypertonic saline
266	trip_11826	chondromalacia patellae
267	trip_11847	hypertension diabetes
268	trip_11880	dabigatran versus warfarin
269	trip_11914	nasal irrigation
270	trip_12058	emergency department
271	trip_12061	severe preeclampsia
272	trip_12073	skin abscess
273	trip_12115	depression psychotherapy
274	trip_12201	music therapy autism
275	trip_12218	fibromyalgia diagnosis
276	trip_12272	retinopathy of prematurity
277	trip_12335	stroke rehabilitation physiotherapy
278	trip_12363	diverticulitis treatment
279	trip_12404	first episode psychosis
280	trip_12439	fetal alcohol syndrome
281	trip_12457	chronic obstructive pulmonary disease
282	trip_12751	factor v leiden
283	trip_12768	prostate cancer
284	trip_12770	Back pain
285	trip_12787	knee osteoarthritis
286	trip_12828	compassion fatigue nursing
287	trip_12877	portal hypertension
288	trip_12914	allergic conjunctivitis
289	trip_13007	preterm labour
290	trip_13200	breast cancer screening guidelines
291	trip_13392	tennis elbow
292	trip_13491	spinal anesthesia
293	trip_13518	teen pregnancy
294	trip_13739	gestational diabetes mellitus
295	trip_13770	anorexia nervosa treatment
296	trip_13771	hay fever
297	trip_13781	aortic stenosis
298	trip_13822	exercise depression
299	trip_13901	hepatorenal syndrome
300	trip_13986	diabetic retinopathy screening
301	trip_14009	massage therapy
302	trip_14139	multiple sclerosis exercise
303	trip_14346	gestational diabetes diagnosis
304	trip_14584	type 1 diabetes
305	trip_14627	abdominal pain
306	trip_14760	comprehensive geriatric assessment
307	trip_14909	testosterone replacement
308	trip_14967	sepsis immunoglobulin
309	trip_15113	knee replacement
310	trip_15123	non small cell lung cancer
311	trip_15174	medication reconciliation
312	trip_15256	umbilical cord
313	trip_15291	facial paralysis
314	trip_15297	digoxin toxicity
315	trip_15300	aspirin diabetes
316	trip_15429	intertrochanteric fracture
317	trip_15440	multiple myeloma bortezomib
318	trip_15733	Heart failure
319	trip_16172	ketogenic diet epilepsy
320	trip_16314	non invasive ventilation
321	trip_16358	parkinson disease
322	trip_16418	c reactive protein
323	trip_16422	urinary catheterization
324	trip_16477	end of life
325	trip_16490	nosocomial infection
326	trip_16635	post partum depression
327	trip_16792	Antidepressant Efficacy
328	trip_16860	appendicitis appendectomy antibiotics
329	trip_16866	blood transfusion
330	trip_16870	laparoscopic assisted vaginal hysterectomy
331	trip_16952	alopecia areata
332	trip_17076	health promotion
333	trip_17229	intrauterine insemination
334	trip_17238	chlorhexidine gluconate
335	trip_17249	polypharmacy elderly
336	trip_17345	edinburgh postnatal depression scale
337	trip_17471	postpartum hemorrhage
338	trip_17522	ectopic pregnancy methotrexate
339	trip_17528	spina bifida
340	trip_17660	nurse prescribing
341	trip_17848	sepsis procalcitonin
342	trip_17865	pediatric palliative care
343	trip_17869	mild traumatic brain injury
344	trip_17886	herpes zoster vaccine
345	trip_17892	blood transfusion guidelines
346	trip_17943	Bell palsy
347	trip_18191	placenta accreta
348	trip_18223	healing touch
349	trip_18302	adolescent obesity
350	trip_18310	wound care
351	trip_18547	cardiopulmonary resuscitation
352	trip_18717	bipolar disorder treatment
353	trip_18783	hypertrophic cardiomyopathy
354	trip_18835	renal colic
355	trip_18896	opioid induced hyperalgesia
356	trip_18948	postoperative nausea vomiting
357	trip_18969	nursing research
358	trip_19109	medication errors nursing
359	trip_19144	new research area for nurse
360	trip_19286	bcg vaccine
361	trip_19422	mental illness
362	trip_19490	hiatal hernia
363	trip_19548	aquatic therapy
364	trip_19655	mallet finger
365	trip_19974	liverpool care pathway
366	trip_19984	oral hygiene
367	trip_20170	borderline personality disorder treatment
368	trip_20214	benzodiazepine withdrawal
369	trip_20283	schizophrenia antipsychotics
370	trip_20292	transverse myelitis
371	trip_20306	gastric bypass
372	trip_20391	centor score
373	trip_20435	sudden infant death
374	trip_20440	evidence based practice nursing
375	trip_20453	meconium aspiration syndrome
376	trip_20517	statin diabetes
377	trip_20603	toxoplasmosis pregnancy
378	trip_20761	elderly fall prevention
379	trip_20770	peripherally inserted central catheter
380	trip_20854	proton beam therapy
381	trip_20896	stem cell
382	trip_21205	gastrostomy children
383	trip_21268	epidermolysis bullosa
384	trip_21275	noise induced hearing loss
385	trip_21532	stenotrophomonas maltophilia treatment
386	trip_21570	hepatitis b
387	trip_21643	person centred care
388	trip_21767	therapeutic hypothermia cardiac arrest
389	trip_21822	dental fluorosis
390	trip_21992	prenatal screening
391	trip_22008	family intervention schizophrenia
392	trip_22120	pediatric pain management
393	trip_22332	islet transplantation
394	trip_22334	homeopathy efficacy
395	trip_22345	intensive care unit
396	trip_22349	prophylactic mastectomy
397	trip_22390	Stenotrophomonas maltophilia
398	trip_22420	cinnamon diabetes
399	trip_22509	knowledge translation
400	trip_22673	breast tomosynthesis
401	trip_22748	herpes labialis
402	trip_22917	case management
403	trip_23112	mindful eating
404	trip_23137	atrial fibrillation ablation
405	trip_23195	bacterial vaginosis pregnancy
406	trip_23239	diabetic neuropathy treatment
407	trip_23262	mitral valve prolapse
408	trip_23294	omalizumab asthma
409	trip_23371	uterine atony
410	trip_23440	burning mouth syndrome
411	trip_23493	dementia treatment
412	trip_23585	preterm birth
413	trip_23590	end of life care
414	trip_23619	ovarian cyst
415	trip_23721	autoimmune hemolytic anemia
416	trip_23809	blood pressure
417	trip_23830	diarrhea probiotics
418	trip_24054	quality improvement
419	trip_24088	night shift
420	trip_24093	acute stroke
421	trip_24228	kangaroo mother care
422	trip_24331	nursing burnout
423	trip_24337	chronic diarrhea
424	trip_24509	tension headache
425	trip_24707	neuropatic pain
426	trip_24833	pelvic organ prolapse
427	trip_25197	inhaled corticosteroids asthma
428	trip_25233	Diabetic Ketoacidosis
429	trip_25293	bariatric surgery diabetes
430	trip_25401	uterine rupture
431	trip_25760	flu vaccine effectiveness
432	trip_25843	stevens johnson syndrome
433	trip_25851	meniere's disease
434	trip_26006	adhesive capsulitis
435	trip_26020	Neonatal jaundice
436	trip_26038	low back pain physiotherapy
437	trip_26042	fish oil cardiovascular disease
438	trip_26149	h. pylori laboratory
439	trip_26218	uterine fibroids
440	trip_26234	duchenne muscular dystrophy
441	trip_26723	acute urticaria
442	trip_27014	teach back
443	trip_27040	post partum haemorrhage
444	trip_27071	intestinal obstruction
445	trip_27097	Delayed cord clamping
446	trip_27341	intussusception children
447	trip_27480	lupus nephritis
448	trip_27540	delirium elderly
449	trip_27953	external cephalic version
450	trip_28052	chronic gastritis
451	trip_28113	ozone therapy
452	trip_28301	kidney cancer
453	trip_28309	diabetes pregnancy
454	trip_28371	acute otitis media antibiotics
455	trip_28377	hearing loss
456	trip_28444	omega cardiovascular disease
457	trip_28549	premature ejaculation
458	trip_28591	molluscum contagiosum
459	trip_28710	chlamydia screening
460	trip_28733	fatty liver
461	trip_28770	hypothyroidism treatment
462	trip_28964	bipolar disorder treatment guidelines
463	trip_28980	frozen shoulder treatment
464	trip_29090	central line infection prevention
465	trip_29178	venous insufficiency
466	trip_29323	crown lengthening
467	trip_29457	influenza tamiflu
468	trip_29539	hypercalcemia malignancy
469	trip_29591	cranberry urinary tract infection
470	trip_29664	chest pain
471	trip_29754	meningitis dexamethasone
472	trip_29798	alteplase stroke
473	trip_30205	skin cancer
474	trip_30228	peanut allergy
475	trip_30630	chronic pain management
476	trip_30695	weight loss
477	trip_30833	hyaluronic acid osteoarthritis
478	trip_30903	sexually transmitted diseases
479	trip_31019	giant cell arteritis treatment
480	trip_31051	glucosamine sulfate
481	trip_31056	diabetes gestacional
482	trip_31723	atrial fibrillation apixaban
483	trip_31852	otitis media with effusion
484	trip_31975	knee pain
485	trip_32342	cold vitamin c
486	trip_32894	sepsis neonatal
487	trip_32973	inhaler technique
488	trip_33275	acute cholangitis
489	trip_33312	music therapy depression
490	trip_33339	influenza vaccine effectiveness
491	trip_33446	chest trauma
492	trip_33538	acute pain management guidelines
493	trip_33539	hypertension pregnancy
494	trip_33647	rivaroxaban pulmonary embolism
495	trip_33710	liver failure
496	trip_33913	pelvic floor
497	trip_33928	practice guidelines
498	trip_33954	glucosamine chondroitin osteoarthritis
499	trip_34004	Traumatic brain injury
500	trip_34018	preeclampsia treatment
501	trip_34133	placenta previa management
502	trip_34345	mindfulness meditation
503	trip_34419	clostridium difficile probiotics
504	trip_34700	Rheumatoid arthritis
505	trip_34836	respite care
506	trip_34839	ultrasound pneumonia
507	trip_34935	umbilical cord blood
508	trip_34940	hypertension pulmonary
509	trip_35481	pulmonary fibrosis
510	trip_35608	dysphagia elderly
511	trip_35792	skin to skin contact after birth
512	trip_35838	suicide prevention
513	trip_35947	lithium toxicity
514	trip_36190	green tea weight loss
515	trip_36249	clinical decision support systems
516	trip_36377	delirium treatment
517	trip_36421	status epilepticus children
518	trip_36481	cervical radiculopathy
519	trip_36495	peripheral neuropathy
520	trip_36510	gout treatment
521	trip_36609	respiratory distress syndrome
522	trip_36699	bipolar disorder lithium
523	trip_36857	aspergillosis galactomannan
524	trip_36890	vulvar cancer
525	trip_37099	constipation palliative care
526	trip_37163	pelvic girdle pain
527	trip_37333	gestational trophoblastic disease
528	trip_37465	bulimia nervosa
529	trip_38124	nasogastric tube insertion
530	trip_38180	cough treatment
531	trip_38323	alternative medicine
532	trip_38363	tiotropium asthma
533	trip_38557	hand hygiene compliance
534	trip_38568	maggot therapy
535	trip_38960	neurogenic bladder
536	trip_39079	suicide risk factors
537	trip_39141	sepsis guidelines
538	trip_39200	ambulatory blood pressure monitoring
539	trip_39292	trigeminal neuralgia
540	trip_39306	traumatic brain injury rehabilitation
541	trip_39545	fasting preoperative
542	trip_39597	ankle injuries
543	trip_39624	supraspinatus tendinopathy
544	trip_40190	traumatic brain injury guidelines
545	trip_40201	vegetarian diet
546	trip_40691	venous catheter
547	trip_40919	fascitis plantar
548	trip_41019	vitamin c common cold
549	trip_41125	smoking cessation primary care
550	trip_41284	Bispectral index
551	trip_41293	psoriasis treatment
552	trip_41447	diabetes aspirin primary prevention
553	trip_41452	oseltamivir treatment
554	trip_41515	azithromycin copd
555	trip_41684	compartment syndrome
556	trip_41789	type 2 diabetes mellitus
557	trip_42243	autism diet
558	trip_42296	statins cardiovascular diseases
559	trip_42360	family presence during resuscitation
560	trip_42364	cbt depression
561	trip_42491	mediterranean diet cardiovascular
562	trip_42606	Physical Therapy
563	trip_42721	emergency department overcrowding
564	trip_42831	children obesity
565	trip_42869	preterm infant
566	trip_42961	needle exchange programs
567	trip_43111	postoperative pain management
568	trip_43186	social isolation elderly
569	trip_43713	lactose intolerance children
570	trip_43936	critical thinking
571	trip_44058	wound debridement
572	trip_44138	generalized anxiety disorder treatment
573	trip_44377	statin primary prevention
574	trip_44401	antibiotic stewardship
575	trip_44632	varenicline smoking cessation
576	trip_44634	ectopic pregnancy management
577	trip_45242	early mobility
578	trip_45382	diastasis recti
579	trip_45933	stable angina
580	trip_46564	pregnancy nutrition
581	trip_46810	vertigo treatment
582	trip_47480	nausea vomiting pregnancy
583	trip_47584	hierarchy of evidence
584	trip_47781	stiff person syndrome
585	trip_48670	hip fracture surgery
586	trip_48709	depression exercise
587	trip_48943	acute respiratory failure
588	trip_48982	epidural analgesia
589	trip_49191	alcohol pregnancy
590	trip_49219	umbilical cord clamping
591	trip_49278	obesity in children
592	trip_49475	sleeve gastrectomy
593	trip_49772	venous ulcers
594	trip_49806	pulse oximetry screening congenital heart disease
595	trip_49941	clopidogrel proton pump inhibitors
596	trip_50063	respiratory syncytial virus
597	trip_50162	renal colic treatment
598	trip_50720	perioral dermatitis
599	trip_51027	phlebitis treatment
600	trip_51344	amyotrophic lateral sclerosis
601	trip_51519	community acquired pneumonia treatment short course
602	trip_51818	adolescent depression treatment
603	trip_52584	nasogastric tube placement verification
604	trip_52766	misoprostol postpartum hemorrhage
605	trip_52913	meta analysis
606	trip_52953	needlestick injury
607	trip_53503	electroconvulsive therapy depression
608	trip_53504	parkinson's disease treatment
609	trip_54317	renal cell carcinoma
610	trip_54459	calcaneal apophysitis
611	trip_54544	nutrition pregnancy
612	trip_55092	misoprostol abortion
613	trip_55387	pregabalin anxiety
614	trip_55431	dementia pain assessment
615	trip_55546	stroke management
616	trip_55554	postmenopausal osteoporosis
617	trip_55938	brentuximab vedotin
618	trip_56094	hidradenitis suppurativa
619	trip_56111	partial caries removal
620	trip_56128	ostomy care
621	trip_56464	osgood schlatter treatment
622	trip_56494	temporal arteritis
623	trip_56506	rett syndrome
624	trip_56620	menopause treatment
625	trip_56740	caregiver burden
626	trip_56900	self monitoring blood glucose type 2
627	trip_56903	reminiscence therapy
628	trip_56975	neonatal asphyxia
629	trip_57355	smoking cessation interventions
630	trip_57755	alcohol and pregnancy
631	trip_57861	high flow nasal cannula neonate
632	trip_58050	menstrual migraine
633	trip_58276	focal segmental glomerulosclerosis
634	trip_58584	rectal cancer
635	trip_58630	child abuse prevention
636	trip_58912	depression music
637	trip_59083	endometriosis and infertility
638	trip_59464	contact dermatitis
639	trip_59524	delirium prevention
640	trip_59616	panitumumab colorectal cancer
641	trip_59748	postpartum contraception
642	trip_60324	carpal tunnel syndrome surgery
643	trip_60729	antenatal education
644	trip_60907	probiotics children
645	trip_61087	fever unknown origin
646	trip_61655	bulimia nervosa treatment
647	trip_62282	paracetamol toxicity
648	trip_63009	mesenteric adenitis
649	trip_64205	animal assisted therapy dementia
650	trip_64468	restless leg syndrome treatment
651	trip_64542	thyroid pregnancy
652	trip_64590	psa testing
653	trip_64636	compassion fatigue
654	trip_64742	music therapy and dementia
655	trip_64947	statin intolerance
656	trip_65051	family witnessed resuscitation
657	trip_65093	fast track surgery
658	trip_65180	peripheral artery disease
659	trip_65255	hypothyroidism review
660	trip_65637	osteoarthritis and glucosamine
661	trip_65708	incontinence associated dermatitis
662	trip_66009	bedside report
663	trip_66245	spinal manipulation
664	trip_66650	Ankylosing spondylitis
665	trip_66951	surviving sepsis campaign
666	trip_67205	congenital syphilis
667	trip_68768	early onset neonatal sepsis
668	trip_68916	deodorant breast cancer
669	trip_69076	pompe disease
670	trip_69341	family presence during cardiopulmonary resuscitation
671	trip_69387	hashimoto thyroiditis
672	trip_69555	low back pain guideline
673	trip_69729	high intensity interval training
674	trip_69822	hippotherapy cerebral palsy
675	trip_70825	emotional intelligence
676	trip_71351	hydrocolloid dressing
677	trip_71570	tuberous sclerosis complex
678	trip_71700	nursing handoff
679	trip_71720	ulnar translocation ulnocarpal translocation ulnar translation
680	trip_71824	g6pd deficiency
681	trip_72484	agomelatine depression
682	trip_72768	ischemic stroke treatment
683	trip_72898	asymptomatic hyperuricemia
684	trip_73110	amitriptyline migraine
685	trip_73133	chronic lymphocytic leukemia
686	trip_73572	fluoride water
687	trip_73921	ivabradine heart failure
688	trip_74267	stroke thrombolysis
689	trip_74374	curcumin osteoarthritis
690	trip_74518	postpartum care
691	trip_74635	heart failure carvedilol metoprolol mortality
692	trip_74993	pneumonia children treatment
693	trip_75450	catheter associated urinary tract infections
694	trip_75466	decubitus prevention
695	trip_75891	Helicobacter pylori
696	trip_76480	ankylosing spondylitis treatment
697	trip_76770	subtrochanteric fracture
698	trip_77510	diabetic ketoacidosis treatment guidelines
699	trip_77551	intermittent fasting weight loss
700	trip_77745	umbilical catheter
701	trip_77905	spinal cord compression
702	trip_78775	twin pregnancy
703	trip_78880	ehr implementation
704	trip_79007	body dysmorphic disorder
705	trip_79390	urinary incontinence women
706	trip_79477	social anxiety disorder treatment
707	trip_79751	idiopathic thrombocytopenic purpura
708	trip_80478	mood disorder questionnaire
709	trip_80508	irreversible electroporation
710	trip_80628	peripartum cardiomyopathy
711	trip_81161	impetigo treatment
712	trip_82492	rotator cuff injury
713	trip_82512	endothelial progenitor cells and cardiovascular disease
714	trip_82840	hormonal contraception
715	trip_83020	asthma education
716	trip_83192	baby led weaning
717	trip_84488	chronic pain opioid
718	trip_84693	echinacea and common cold
719	trip_84703	gestational diabetes management
720	trip_84891	prader willi
721	trip_85811	hirschsprung disease
722	trip_85867	leptospirosis review
723	trip_86447	primary care smoking cessation
724	trip_86723	dental implant failure
725	trip_86747	myelodysplastic syndrome
726	trip_87194	umbilical cord blood banking
727	trip_87505	tuberculosis pulmonary
728	trip_87746	nocturnal enuresis children
729	trip_87830	latex allergy
730	trip_87934	treatment osteoporosis
731	trip_87970	oral care
732	trip_88625	misoprostol hysteroscopy
733	trip_89132	obesity microbiota
734	trip_89645	asthma guidelines
735	trip_89811	umbilical hernia
736	trip_90244	blood cultures
737	trip_90335	cystic fibrosis nutrition
738	trip_90339	adolescent suicide
739	trip_91392	beers criteria
740	trip_91659	white coat hypertension
741	trip_92441	cleft lip and palate
742	trip_92490	oral care ventilator associated pneumonia
743	trip_94141	magnesium sulphate asthma
744	trip_94256	zinc deficiency
745	trip_94317	ipratropium asthma
746	trip_94406	skin to skin
747	trip_95227	breast cancer prevention
748	trip_95493	dysphagia and stroke
749	trip_95680	tranexamic acid and trauma
750	trip_95696	post traumatic stress
751	trip_96000	spinal stenosis treatment
752	trip_96061	epilepsy surgery
753	trip_96140	tobacco cessation
754	trip_96754	depression postpartum
755	trip_97169	oil pulling
756	trip_97496	acupuncture low back pain
757	trip_97810	guillain barre syndrome review
758	trip_98377	tetralogy of fallot
759	trip_98529	epilepsy elderly
760	trip_98830	common cold children
761	trip_99065	Pelvic inflammatory disease
762	trip_99596	spa therapy
763	trip_101134	dengue fever
764	trip_101137	tongue tie
765	trip_101283	pregnancy exercise
766	trip_101405	lung cancer treatment
767	trip_101781	complicated grief
768	trip_102399	infection prevention
769	trip_102960	acute gastroenteritis children
770	trip_104417	breastfeeding initiation
771	trip_104827	preoperative fasting aspiration
772	trip_105106	kangaroo mother care preterm
773	trip_105495	Gestational Diabetes
774	trip_106061	pediatric triage
775	trip_106951	melatonin children
776	trip_106953	concussion management
777	trip_107040	acupuncture smoking cessation
778	trip_108192	sunitinib renal cell carcinoma
779	trip_108404	parkinson's disease occupational therapy
780	trip_108822	accidental falls prevention
781	trip_109292	cancer immunotherapy
782	trip_109535	hypertensive urgency
783	trip_109656	alcoholic cirrhosis
784	trip_110278	COPD exacerbation antibiotics
785	trip_111389	aspirin and primary prevention
786	trip_111700	jet lag
787	trip_112610	pulmonary tuberculosis guideline children
788	trip_113248	chronic fatigue syndrome treatment
789	trip_114072	kidney transplantation
790	trip_114141	aromatherapy cancer
791	trip_114239	headache guidelines
792	trip_115209	ginkgo biloba memory
793	trip_115398	folic acid and neural tube defects
794	trip_116082	pcos metformin
795	trip_116460	hair loss
796	trip_117552	COPD depression
797	trip_117599	e cigarettes
798	trip_117925	essential hypertension
799	trip_118678	stroke mirror therapy
800	trip_118714	epidural analgesia labour
801	trip_119168	catheter venous peripheral
802	trip_119214	strength training elderly
803	trip_119293	prostate cancer screening guidelines
804	trip_120723	nuchal cord
805	trip_120930	forensic medicine
806	trip_121843	vaccines autism
807	trip_122892	acupuncture back pain
808	trip_124627	operating room efficiency
809	trip_124955	emotional freedom technique
810	trip_125890	pain palliative care
811	trip_125891	dialectical behavior therapy borderline personality
812	trip_126682	neuroleptic malignant syndrome
813	trip_132548	surgical safety checklist
814	trip_132569	testicular torsion
815	trip_132679	greater trochanteric pain syndrome
816	trip_132797	sepsis pregnancy
817	trip_134115	copd treatment guidelines
